State,Median_Income,Unemployment_Rate,Cost_of_Living,Income_Norm,Unemployment_Norm,Cost_Norm,Resilience_Score
Alabama,62771.2414448669,2.7,88.8,0.392936503028107,0.0606060606060606,0.0373532550693702,0.728
Alaska,108911.695238095,6,124.4,0.838146205497923,0.56060606060606,0.417289220917822,0.642
Arizona,79373.5445705024,4.5,107.2,0.553132292779154,0.333333333333333,0.233724653148345,0.651
Arkansas,52381.6058823529,3.5,90.3,0.292686805045389,0.181818181818181,0.0533617929562433,0.647
California,100581.732926829,3.9,134.5,0.757770315421008,0.242424242424242,0.525080042689434,0.673
Colorado,99512.9220532319,2.5,105.5,0.74745734855763,0.0303030303030303,0.215581643543222,0.825
Connecticut,120557.349295774,3.7,113.1,0.950515238566401,0.212121212121212,0.296691568836712,0.828
Delaware,87086.034090909,4,102.6,0.627550181690029,0.257575757575757,0.184631803628601,0.718
Florida,75203.7567730282,2.8,102.3,0.512897968405253,0.0757575757575757,0.181430096051227,0.728
Georgia,71669.2114914425,3.1,91,0.478793105452825,0.121212121212121,0.0608324439701173,0.737
Hawaii,95679.3623188405,2.7,179,0.71046729214429,0.0606060606060606,1,0.566
Idaho,81455.5503355704,2.8,106.1,0.573221587335299,0.0757575757575757,0.221985058697972,0.74
Illinois,86771.1851851851,3.5,90.8,0.624512201433734,0.181818181818181,0.0586979722518675,0.778
Indiana,83273.609375,3.1,91.5,0.59076405728248,0.121212121212121,0.0661686232657416,0.78
Iowa,80540.4162995594,2.8,89.7,0.564391449822602,0.0757575757575757,0.0469583778014941,0.789
Kansas,82433.1364829396,3.1,87.7,0.58265432589828,0.121212121212121,0.0256136606189968,0.789
Kentucky,64374.3501006036,4.3,93.8,0.408404914562284,0.303030303030303,0.0907150480256135,0.645
Louisiana,59831.2250489236,5.1,92,0.364568255269643,0.424242424242424,0.071504802561366,0.597
Maine,66040.7133757961,3.1,111.5,0.424483670555446,0.121212121212121,0.279615795090715,0.65
Maryland,113988.232081911,3.3,119.5,0.887129760534915,0.151515151515151,0.364994663820704,0.8
Massachusetts,118008.03880597,2.8,148.4,0.925916916023773,0.0757575757575757,0.67342582710779,0.746
Michigan,70040.0545144804,3.8,92.7,0.463073353405298,0.227272727272727,0.0789754535752401,0.693
Minnesota,88461.7254290171,3.2,94.1,0.640824241240333,0.136363636363636,0.0939167556029882,0.787
Mississippi,57423.0124610591,5.5,85.3,0.341331387801196,0.484848484848484,0,0.591
Missouri,70934.11,3.5,88.4,0.471700103772415,0.181818181818181,0.0330843116328709,0.724
Montana,68587.6689189189,3.5,103.7,0.449059270193869,0.181818181818181,0.196371398078975,0.666
Nebraska,90510.6872727272,3.9,90.1,0.660594694667128,0.242424242424242,0.0512273212379935,0.776
Nevada,90228.0981132075,3.6,101.3,0.657867989026243,0.196969696969697,0.170757737459978,0.753
New Hampshire,101146.007633587,2.6,115,0.763215007738795,0.0454545454545454,0.316969050160085,0.797
New Jersey,125685.829954954,3.8,114.1,1,0.227272727272727,0.307363927427961,0.84
New Mexico,82390.7625,4.8,94.2,0.582245458910939,0.378787878787878,0.0949839914621131,0.691
New York,100544.026851851,3.8,125.1,0.757406489124517,0.227272727272727,0.424759871931696,0.707
North Carolina,70692.5114754098,3.6,96.1,0.469368917180017,0.196969696969697,0.115261472785485,0.694
North Dakota,83476.1512605042,2.3,94.6,0.592718385971727,0,0.0992529348986124,0.807
Ohio,74885.2987398072,4.1,94,0.509825163641459,0.272727272727272,0.0928495197438634,0.694
Oklahoma,61972.6666666666,3.3,86,0.385231046965717,0.151515151515151,0.007470651013874,0.706
Oregon,85136.7648578811,3.3,115.1,0.608741663265849,0.151515151515151,0.31803628601921,0.703
Pennsylvania,83214.7315254237,4.7,99,0.590195944320059,0.363636363636363,0.146211312700106,0.683
Puerto Rico,22048.2552631578,8.9,96.6,0,1,0.120597652081109,0.264
Rhode Island,105751.981651376,3.1,110.5,0.807658097337195,0.121212121212121,0.268943436499466,0.806
South Carolina,68207.0566448801,2.4,96.5,0.44538673853563,0.0151515151515151,0.119530416221985,0.738
South Dakota,81221,3.4,93.8,0.570958408789603,0.166666666666666,0.0907150480256135,0.751
Tennessee,65054.7508196721,3.3,90.4,0.414970107940187,0.151515151515151,0.0544290288153682,0.704
Texas,85856.5130434782,4.5,93,0.61568652074382,0.333333333333333,0.0821771611526147,0.722
Utah,109378.08045977,2.5,101.5,0.842646361190121,0.0303030303030303,0.172892209178228,0.876
Vermont,81112.7228915662,2.4,114.9,0.569913641881889,0.0151515151515151,0.31590181430096,0.729
Virginia,103971.863694267,2.7,103.1,0.790481721274725,0.0606060606060606,0.189967982924226,0.841
Washington,99918.0915697674,3.9,115.1,0.751366833295578,0.242424242424242,0.31803628601921,0.732
West Virginia,63566.3346774193,5,90.3,0.400608365621543,0.409090909090909,0.0533617929562433,0.622
Wisconsin,79387.059347181,3.5,95,0.55326269699518,0.181818181818181,0.103521878335111,0.736
Wyoming,113605.573333333,3.7,92.8,0.883437482423276,0.212121212121212,0.0800426894343649,0.866
